point_id,local_x,local_y,local_z,original_z,source_layer,source_handle,is_outlier
P00073,-1738.706,-2717.2247,29.77,29.77,9-지형-POINT,39310,False
P00074,-1734.776,-2715.1447,29.68,29.68,9-지형-POINT,39312,False
P00075,-1734.056,-2676.1447,26.91,26.91,9-지형-POINT,39314,False
P00076,-1740.886,-2714.7647,30.26,30.26,9-지형-POINT,39316,False
P00077,-1774.056,-2626.8347,24.13,24.13,9-지형-POINT,39318,False
P00078,-1775.396,-2625.3447,24.24,24.24,9-지형-POINT,3931A,False
P00079,-1742.086,-2711.9147,30.12,30.12,9-지형-POINT,3931C,False
P00080,-1778.686,-2634.5347,24.1,24.1,9-지형-POINT,3931E,False
P00081,-1780.716,-2634.0947,24.2,24.2,9-지형-POINT,39320,False
P00082,-1768.146,-2669.5447,27.81,27.81,9-지형-POINT,39322,False
P00083,-1781.986,-2635.7447,24.17,24.17,9-지형-POINT,39324,False
P00084,-1769.356,-2673.1847,27.79,27.79,9-지형-POINT,39326,False
P00085,-1737.486,-2709.2047,29.32,29.32,9-지형-POINT,39328,False
P00086,-1780.896,-2637.5247,24.08,24.08,9-지형-POINT,3932A,False
P00087,-1767.796,-2674.5447,27.65,27.65,9-지형-POINT,3932C,False
P00088,-1735.526,-2701.0847,28.86,28.86,9-지형-POINT,3932E,False
P00089,-1767.966,-2674.8847,27.36,27.36,9-지형-POINT,39330,False
P00090,-1783.046,-2639.2847,24.09,24.09,9-지형-POINT,39332,False
P00091,-1770.266,-2676.2047,27.45,27.45,9-지형-POINT,39334,False
P00092,-1732.942,-2692.1057,28.443,28.443,9-지형-POINT,39336,False
P00093,-1732.586,-2691.1047,28.19,28.19,9-지형-POINT,39337,False
P00094,-1731.736,-2691.3047,28.2,28.2,9-지형-POINT,39339,False
P00095,-1731.366,-2690.3647,28.13,28.13,9-지형-POINT,3933B,False
P00096,-1732.216,-2690.1547,28.12,28.12,9-지형-POINT,3933C,False
P00097,-1769.416,-2682.1447,27.8,27.8,9-지형-POINT,3933D,False
P00098,-1784.446,-2637.9247,24.17,24.17,9-지형-POINT,3933F,False
P00099,-1755.576,-2695.2847,27.77,27.77,9-지형-POINT,39341,False
P00100,-1731.916,-2690.7647,25.75,25.75,9-지형-POINT,39343,False
P00101,-1732.086,-2689.7847,28.02,28.02,9-지형-POINT,39345,False
P00102,-1731.696,-2689.8747,28.03,28.03,9-지형-POINT,39346,False
P00103,-1746.056,-2701.9047,27.92,27.92,9-지형-POINT,39348,False
P00104,-1776.046,-2622.6347,24.42,24.42,9-지형-POINT,3934A,False
P00105,-1727.296,-2676.5647,27.58,27.58,9-지형-POINT,3934C,False
P00106,-1726.856,-2676.0647,27.65,27.65,9-지형-POINT,3934E,False
P00107,-1726.626,-2675.1047,27.63,27.63,9-지형-POINT,3934F,False
P00108,-1727.566,-2674.8947,27.61,27.61,9-지형-POINT,39351,False
P00109,-1782.936,-2634.1347,24.38,24.38,9-지형-POINT,39352,False
P00110,-1743.656,-2689.0347,27.66,27.66,9-지형-POINT,39354,False
P00111,-1741.056,-2695.0447,28.15,28.15,9-지형-POINT,39356,False
P00112,-1742.326,-2704.5647,29.53,29.53,9-지형-POINT,39358,False
P00113,-1740.586,-2697.9947,28.72,28.72,9-지형-POINT,3935A,False
P00114,-1741.556,-2707.7247,29.68,29.68,9-지형-POINT,3935C,False
P00115,-1741.136,-2698.3747,28.83,28.83,9-지형-POINT,3935D,False
